iter	Passed	Remaining
0	179	179352
1	224	112105
2	272	90479
3	316	78887
4	355	70739
5	389	64543
6	423	60059
7	462	57373
8	506	55748
9	550	54500
10	590	53123
11	630	51935
12	669	50801
13	706	49774
14	745	48935
15	786	48348
16	823	47605
17	860	46951
18	897	46332
19	937	45935
20	975	45462
21	1011	44984
22	1054	44789
23	1094	44495
24	1131	44112
25	1170	43838
26	1208	43535
27	1245	43243
28	1285	43041
29	1320	42692
30	1358	42454
31	1397	42272
32	1437	42113
33	1473	41868
34	1510	41656
35	1550	41512
36	1593	41469
37	1634	41375
38	1678	41356
39	1724	41377
40	1766	41308
41	1803	41129
42	1840	40972
43	1878	40810
44	1916	40680
45	1955	40549
46	1992	40392
47	2030	40271
48	2067	40122
49	2106	40024
50	2147	39953
51	2183	39811
52	2224	39747
53	2262	39636
54	2299	39517
55	2336	39390
56	2374	39277
57	2411	39163
58	2448	39051
59	2483	38907
60	2519	38778
61	2555	38664
62	2592	38561
63	2632	38505
64	2670	38412
65	2705	38288
66	2743	38207
67	2780	38111
68	2821	38072
69	2863	38048
70	2908	38054
71	2959	38141
72	3001	38120
73	3043	38087
74	3082	38011
75	3120	37942
76	3159	37871
77	3197	37796
78	3235	37715
79	3272	37628
80	3309	37553
81	3347	37471
82	3383	37385
83	3422	37318
84	3459	37235
85	3495	37148
86	3532	37072
87	3569	36991
88	3604	36899
89	3641	36820
90	3677	36735
91	3715	36667
92	3755	36622
93	3794	36572
94	3831	36500
95	3867	36414
96	3903	36341
97	3938	36250
98	3976	36185
99	4012	36114
100	4051	36061
101	4095	36059
102	4138	36038
103	4181	36026
104	4224	36012
105	4267	35990
106	4308	35958
107	4345	35887
108	4382	35827
109	4420	35762
110	4457	35699
111	4495	35645
112	4538	35628
113	4578	35580
114	4615	35518
115	4651	35451
116	4690	35398
117	4728	35346
118	4767	35294
119	4804	35236
120	4843	35188
121	4882	35140
122	4921	35092
123	4959	35035
124	4996	34973
125	5034	34920
126	5109	35122
127	5151	35094
128	5195	35076
129	5242	35083
130	5298	35150
131	5356	35221
132	5408	35258
133	5468	35338
134	5515	35337
135	5563	35344
136	5610	35339
137	5651	35303
138	5692	35263
139	5733	35219
140	5828	35507
141	5910	35709
142	5958	35708
143	5998	35659
144	6039	35610
145	6076	35545
146	6116	35493
147	6160	35462
148	6200	35415
149	6239	35354
150	6275	35284
151	6313	35224
152	6351	35163
153	6388	35093
154	6426	35034
155	6462	34964
156	6500	34903
157	6539	34849
158	6576	34786
159	6616	34736
160	6660	34710
161	6704	34680
162	6754	34683
163	6809	34711
164	6901	34925
165	6944	34891
166	6986	34847
167	7025	34792
168	7061	34723
169	7099	34661
170	7136	34599
171	7171	34525
172	7209	34462
173	7245	34394
174	7282	34331
175	7320	34272
176	7357	34211
177	7394	34149
178	7432	34090
179	7469	34027
180	7505	33962
181	7542	33898
182	7577	33830
183	7616	33776
184	7651	33710
185	7689	33650
186	7727	33594
187	7765	33540
188	7803	33483
189	7839	33419
190	7875	33359
191	7913	33304
192	7955	33266
193	8000	33238
194	8042	33199
195	8085	33168
196	8133	33152
197	8179	33131
198	8218	33081
199	8255	33022
200	8294	32971
201	8333	32920
202	8369	32858
203	8405	32799
204	8443	32744
205	8482	32695
206	8520	32640
207	8557	32584
208	8595	32531
209	8632	32475
210	8668	32416
211	8706	32361
212	8744	32309
213	8780	32251
214	8817	32194
215	8853	32135
216	8891	32081
217	8928	32027
218	8964	31968
219	9001	31915
220	9038	31859
221	9076	31809
222	9115	31759
223	9154	31712
224	9193	31666
225	9234	31624
226	9279	31600
227	9329	31588
228	9374	31561
229	9418	31530
230	9463	31503
231	9503	31458
232	9543	31416
233	9582	31366
234	9623	31326
235	9660	31274
236	9699	31227
237	9738	31178
238	9774	31124
239	9812	31071
240	9848	31015
241	9888	30971
242	9927	30926
243	9966	30879
244	10004	30829
245	10042	30779
246	10086	30750
247	10128	30711
